Name,Description,SKU,Gender, Attribute 1,Attribute 1 Value, Attribute 2,Attribute 2 Value, Attribute 3,Attribute 3 Value,Base Image 1 ,Base Image 2,Base Image 3,Base Image 4,Base Image 5,Base Price(USD),Sale Price(USD),Quantity,Unit of Weight,Weight,Unit of Dimensions,Height,Width,Length,SEO Title,SEO Description,Vendor,Parent SKU
,,LY-1405-120,Unisex,Menge auswählen,120 Dosen à CHF 4.70,,,,,,,,,,564.00,552.00,1,G,3600,IN,3,3,3,,,Lyft,Mini Royal Purple AW
,,LY-1405-240,Unisex,Menge auswählen,240 Dosen à CHF 4.40,,,,,,,,,,1056.00,,1,G,1800,IN,3,3,3,,,Lyft,Mini Royal Purple AW
Mini Easy Mint AW,"<p>Auf aromatisierter Zellulosebasis und völlig frei von Tabak kommen die LYFT Beutel neu auch im Mini Format. Ohne Tabak bedeutet ohne gewöhnungsbedürftigen Tabakgeruch sowie ohne jegliche Tabakschadstoffe - aktuell gibt es weltweit keine weniger schädliche Art, Nikotin zu konsumieren. All White Snus / Nicotine Pouches bietet sich deshalb vor allem Rauchern an, welche mit Rauchentwöhnung wie Nikotinpflaster, Nikotinkaugummi oder Nikotinspray nichts anfangen können.<br></p>
<div class=""info"">
<div class=""info"">
<div class=""item flex"">
<div class=""title"">
<p>Der Lyft Easy Mint Mini kommt mit süssem Minzgeschmack und tiefem Nikotingehalt.</p>
<p><span>EPOK, LYFT oder VELO? </span><a href=""https://snushus.ch/blogs/snusbuch/epok-und-lyft-werden-ersetzt-mit-velo"">Hier findest Du alle Informationen zu diesem Thema!</a></p>
</div>
</div>
</div>
</div>",Mini Easy Mint AW,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0072/0646/9679/products/Lyft-Mini-Easy-Mint-mellow-AW.png,,,,,5.20,,1,G,30,IN,3,3,3,,,,
,,LY-9005-1,Unisex,Menge auswählen,1 Dose à CHF 5.20,,,,,,,,,,5.20,,1,G,30,IN,3,3,3,,,Lyft,Mini Easy Mint AW
,,LY-9005-10,Unisex,Menge auswählen,10 Dosen à CHF 5.20,,,,,,,,,,52.00,,1,G,300,IN,3,3,3,,,Lyft,Mini Easy Mint AW
,,LY-9005-30,Unisex,Menge auswählen,30 Dosen à CHF 5.00,,,,,,,,,,150.00,,1,G,900,IN,3,3,3,,,Lyft,Mini Easy Mint AW
,,LY-9005-120,Unisex,Menge auswählen,120 Dosen à CHF 4.70,,,,,,,,,,564.00,552.00,1,G,3600,IN,3,3,3,,,Lyft,Mini Easy Mint AW
,,LY-9005-240,Unisex,Menge auswählen,240 Dosen à CHF 4.40,,,,,,,,,,1056.00,,1,G,1800,IN,3,3,3,,,Lyft,Mini Easy Mint AW
Tropic Breeze AW,"<p> </p>
<p>Auf aromatisierter Zellulosebasis und völlig frei von Tabak kommen auch die LYFT Beutel im Slim Format. Ohne Tabak bedeutet ohne gewöhnungsbedürftigen Tabakgeruch sowie ohne jegliche Tabakschadstoffe - aktuell gibt es weltweit keine weniger schädliche Art, Nikotin zu konsumieren. All White Snus / Nicotine Pouches bietet sich deshalb vor allem Rauchern an, welche mit Rauchentwöhnung wie Nikotinpflaster, Nikotinkaugummi oder Nikotinspray nichts anfangen können.<br></p>
<div class=""info"">
<div class=""info"">
<div class=""item flex"">
<div class=""title"">
<p>Der Lyft Tropic Breeze kombiniert die Geschmäcker aus tropischen Früchten wie Mandarine, Maracuja und Mango.</p>
<p><span>EPOK, LYFT oder VELO? </span><a href=""https://snushus.ch/blogs/snusbuch/epok-und-lyft-werden-ersetzt-mit-velo"">Hier findest Du alle Informationen zu diesem Thema!</a></p>
</div>
</div>
</div>
</div>",Tropic Breeze AW,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0072/0646/9679/products/lyft-tropic-breeze-slim-aw.png,,,,,5.20,,1,G,30,IN,3,3,3,,,,
,,LY-8005-1,Unisex,Menge auswählen,1 Dose à CHF 5.20,,,,,,,,,,5.20,,1,G,30,IN,3,3,3,,,Lyft,Tropic Breeze AW
,,LY-8005-10,Unisex,Menge auswählen,10 Dosen à CHF 5.20,,,,,,,,,,52.00,,1,G,300,IN,3,3,3,,,Lyft,Tropic Breeze AW
,,LY-8005-30,Unisex,Menge auswählen,30 Dosen à CHF 5.00,,,,,,,,,,150.00,,1,G,900,IN,3,3,3,,,Lyft,Tropic Breeze AW
,,LY-8005-120,Unisex,Menge auswählen,120 Dosen à CHF 4.70,,,,,,,,,,564.00,,1,G,3600,IN,3,3,3,,,Lyft,Tropic Breeze AW
,,LY-8005-240,Unisex,Menge auswählen,240 Dosen à CHF 4.40,,,,,,,,,,1056.00,,1,G,1800,IN,3,3,3,,,Lyft,Tropic Breeze AW
BERRY,"<p>Fruchtiger geht nicht. Bist du auf der Suche nach einem intensiven und lang anhaltenden Geschmackserlebnis? Dann wirst du den edel BERRY lieben. Mit gemässigten 10mg/g Nikotin erfüllt dieses Produkt auch Einsteigerwünsche.</p>
<p><a href=""https://snushus.ch/collections/edel-weiss-snus"" title=""edelweiss All White Snus im Snushus kaufen! Schweizer Qualität, direkt aus der Schweiz versendet."">Hier findest Du sämtliche Varianten der edelweiss Linie</a></p>",BERRY,Unisex,,,,,,,https://cdn.shopify.com/s/files/1/0072/0646/9679/products/edel-berry-all-white.png,,,,,6.90,,1,G,14,IN,3,3,3,,,,
,,ED-4010-1,Unisex,Menge,1 Dose à CHF 6.90,,,,,,,,,,6.90,,1,G,14,IN,3,3,3,,,Edel,BERRY
